Rating,Song,Artist,Last Week,Peak Pos,Weeks on Chart,Views M
1,As It Was,Harry Styles,2,1,3,92
2,First Class,Jack Harlow,1,1,2,15
3,Heat Waves,Glass Animals,3,1,66,272
4,Big Energy,Latto,4,3,26,20
5,Enemy,Imagine Dragons X JID,5,5,22,168
6,Stay,The Kid LAROI & Justin Bieber,6,1,41,535
7,Don't Think Jesus,Morgan Wallen,-,7,1,3.1
8,Woman,Doja Cat,8,8,38,65
9,Super Gremlin,Kodak Black,7,3,24,163
10,Ghost,Justin Bieber,9,5,30,117
11,Thats What I Want,Lil Nas X,10,8,31,112
12,Bad Habits,Ed Sheeran,12,2,43,353
13,abcdefu,GAYLE,11,3,22,133
14,Shivers,Ed Sheeran,15,4,32,173
15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,16,7,33,247
16,Easy On Me,Adele,17,1,28,133
17,Need To Know,Doja Cat,20,8,45,208
18,Save Your Tears,The Weeknd & Ariana Grande,23,1,68,805
19,One Right Now,Post Malone & The Weeknd,24,6,24,57
20,In A Minute,Lil Baby,14,14,2,17
21,Levitating,Dua Lipa,21,2,76,515
22,'Til You Can't,Cody Johnson,22,18,28,16
23,Industry Baby,Lil Nas X & Jack Harlow,19,1,39,337
24,MAMIII,Becky G X Karol G,30,15,10,159
25,Bam Bam,Camila Cabello Featuring Ed Sheeran,25,23,7,51
26,Hrs And Hrs,Muni Long,26,16,17,10
27,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",18,1,17,410
28,Right On,Lil Baby,13,13,2,14
29,Never Say Never,Cole Swindell / Lainey Wilson,27,27,14,3.7
30,Doin' This,Luke Combs,31,27,19,14
31,Wasted On You,Morgan Wallen,36,9,23,56
32,AA,Walker Hayes,32,32,15,5.2
33,Good 4 U,Olivia Rodrigo,28,1,49,364
34,Sweetest Pie,Megan Thee Stallion & Dua Lipa,33,15,6,26
35,Fingers Crossed,Lauren Spencer-Smith,34,19,16,7
36,I Hate U,SZA,29,7,20,15
37,Boyfriend,Dove Cameron,44,37,10,13
38,To The Moon!,JNR CHOI & Sam Tompkins,42,38,8,4.1
39,You Right,Doja Cat & The Weeknd,37,11,42,159
40,Numb Little Bug,Em Beihold,45,40,12,3.2
41,Fancy Like,Walker Hayes,38,3,44,80
42,Sand In My Boots,Morgan Wallen,48,30,40,15
43,What Happened To Virgil,Lil Durk Featuring Gunna,39,22,6,10
44,Pushin P,Gunna & Future Featuring Young Thug,35,7,15,23
45,Beers On Me,"Dierks Bentley, BRELAND & HARDY",41,40,17,3.1
46,The Motto,Tiesto & Ava Max,49,42,12,63
47,She's All I Wanna Be,Tate McRae,50,44,11,14
48,When You're Gone,Shawn Mendes,52,38,3,12
49,Buy Dirt,Jordan Davis Featuring Luke Bryan,47,22,37,18
50,About Damn Time,Lizzo,-,50,1,17
51,Shake It,"Kay Flock, Cardi B, Dougie B & Bory300",-,51,1,12
52,Light Switch,Charlie Puth,43,27,13,65
53,If I Was A Cowboy,Miranda Lambert,68,53,12,3.1
54,Peru,Fireboy DML & Ed Sheeran,53,53,12,63
55,Flowers,Lauren Spencer-Smith,-,55,1,1.1
56,Nail Tech,Jack Harlow,40,18,9,25
57,Freaky Deaky,Tyga X Doja Cat,60,43,8,31
58,23,Sam Hunt,55,50,17,3.9
59,Trouble With A Heartbreak,Jason Aldean,73,59,5,3.7
60,Broadway Girls,Lil Durk Featuring Morgan Wallen,58,14,18,35
61,Heart On Fire,Eric Church,63,56,22,2.1
62,No Love,Summer Walker & SZA,59,13,16,16
63,Surface Pressure,Jessica Darrow,56,8,17,231
64,Slow Down Summer,Thomas Rhett,51,43,9,2.8
65,Flower Shops,ERNEST Featuring Morgan Wallen,67,64,13,5.1
66,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,65,63,15,8.5
67,Me Or Sum,"Nardo Wick, Lil Baby & Future",66,58,15,20
68,Ahhh Ha,Lil Durk,61,18,9,41
69,Give Heaven Some Hell,HARDY,76,69,8,25
70,Handsomer,Russ Featuring Ktlyn,54,40,7,1.2
71,Envolver,Anitta,74,70,4,167
72,Do We Have A Problem?,Nicki Minaj X Lil Baby,70,2,11,28
73,Get Into It (Yuh),Doja Cat,82,68,20,35
74,Rumors,Gucci Mane Featuring Lil Durk,77,51,12,30
75,Take My Name,Parmalee,80,75,3,2.1
76,Damn Strait,Scotty McCreery,89,76,3,1.6
77,Circles Around This Town,Maren Morris,57,52,15,3.1
78,In My Head,Lil Tjay,64,33,3,8.6
79,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),72,49,5,89
80,Soy El Unico,Yahritza y Su Esencia,69,20,4,18
81,I Love You So,The Walters,86,71,14,110
82,Come Back As A Country Boy,Blake Shelton,84,81,12,7
83,GINE,6ix9ine,-,83,1,17
84,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",71,46,9,13
85,Complete Mess,5 Seconds Of Summer,85,85,3,5.6
86,Leave You Alone,Kane Brown,-,86,1,1.2
87,Bones,Imagine Dragons,94,87,6,11
88,Banking On Me,Gunna,87,61,9,7.3
89,She Likes It,Russell Dickerson & Jake Scott,90,86,5,1.3
90,Pressure,Ari Lennox,92,66,17,22
91,Desesperados,Rauw Alejandro & Chencho Corleone,98,91,3,196
92,Over,Lucky Daye,96,77,5,8.4
93,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",78,20,16,184
94,Hate Our Love,Queen Naija & Big Sean,-,88,2,7.5
95,Dos Oruguitas,Sebastian Yatra,93,36,16,64
96,P Power,Gunna Featuring Drake,91,24,14,8.5
97,Money So Big,Yeat,-,95,4,18
98,Blick Blick!,Coi Leray & Nicki Minaj,95,37,4,17
99,Fall In Love,Bailey Zimmerman,-,99,1,4.2
100,X Ultima Vez,Daddy Yankee & Bad Bunny,99,73,3,47
